#,Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,AST/TO,FTR,3PATR,SQ,HT,POS,CLASS,CONFERENCE,SEASON,YEAR,POS-GROUP,PORTAL,TIER-LEVEL,COUNT
20,Tobi Raji,USNA,0,0,0,125,0,60.6,0,0,0,0,0,0,0,217.7,57.5,160.2,1,46.8,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,,,,6-6,F,So,Patriot,25-26,26,FORWARD,0,Low-Major,FALSE
21,Ben Wesson,UVM,0.818,0.857,188.1,9.2,9,9.1,17.5,11.2,4.2,9.9,32.7,-2.5,1.9,141,87.2,53.8,10.3,46.6,5,2.8,2.6,1,1.4,0.714,0.4,0.6,0.667,0.2,0.4,0.5,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,1.00,28.6,42.9,62.6,6-4,G,So,AEC,25-26,26,GUARD,0,Low-Major,FALSE
22,Timothy Coleman,UNH,1,1,175,21.8,11.1,16.5,40.3,0,0,0,16.8,18.5,2,217.5,90,127.5,10.3,46.3,3,3.7,2.7,1,1.3,0.75,0.7,0.7,1,0,0,0,0.7,0.3,1,1,0,0,0,0.3,,0.0,53.8,71.6,6-7,F,Jr,NEC,25-26,26,FORWARD,0,Low-Major,FALSE
23,Max Davis,DREX,1,1,146.7,0,19.1,10,50.3,16.7,5,0,25.8,3,2,152.4,67.7,84.7,9.8,46,3,3.7,3.3,1.3,1.7,0.8,0.7,1,0.667,0,0,0,0,0.7,0.7,0.7,0.3,0,0.3,0,2.33,0.0,58.8,65.5,6-4,G,Sr,CAA,25-26,26,GUARD,0,Mid-Major,FALSE
24,Steven McLeod,USNA,0,0,0,0,0,0,0,0,0,125,0,0,0,0,9.8,-9.8,1,44.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,6-1,G,Fr,Patriot,25-26,26,GUARD,0,Low-Major,FALSE
25,Kwame Tanic,GAST,1.5,1.5,200,0,49.4,21.9,0,0,0,0,14.8,0,3,300,100.9,199.1,2.5,44.4,1,3,3,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,,0.0,100.0,97.5,6-7,F,Fr,Sun Belt,25-26,26,FORWARD,0,Mid-Major,FALSE
26,Rowan Irelan,CTDL,0.643,0.643,85.7,10.3,20.5,15.4,0,12.5,15.3,10,34.5,-8.9,1.3,117.5,71.2,46.2,8.8,44.4,6,2,1.5,0.5,1.2,0.429,0.5,1.2,0.429,0,0,0,0.2,0.3,0.5,0,0.5,0.2,0.2,0.2,0.00,0.0,100.0,54.2,6-3,G,So,SoCon,25-26,26,GUARD,0,Low-Major,FALSE
27,Connor Dubsky,UNCA,0.833,0.833,111.1,0,0,0,19.7,10,4.5,0,36.2,-2.7,1.7,146.5,82,64.5,9.3,44.1,1,13,15,5,9,0.556,5,9,0.556,0,0,0,0,0,0,1,1,0,1,0,1.00,0.0,100.0,103.1,6-4,G,Jr,BSC,25-26,26,GUARD,0,Low-Major,FALSE
28,George Perkins,RICE,0.667,0.667,66.7,0,39,22.5,0,0,0,53.3,27,0,1.3,135.9,25.5,110.4,4.8,42.4,2,2.5,2,1,1.5,0.667,0,0.5,0,0,0,0,0,1,1,0,0,1,0,0.5,,0.0,33.3,30.8,6-8,F,Jr,AAC,25-26,26,FORWARD,0,High-Major,FALSE
29,T.J. Drain,LBRTY,0.731,0.8,80,13.5,22.1,18.2,22.3,8.4,0,20.1,30.4,1.7,1.6,132.5,83.3,49.2,16.8,41.4,6,3.5,2.7,1.3,1.7,0.8,0,0,0,0,0.3,0,0.3,0.7,1,0.3,0,0.7,0.2,0.3,1.50,17.6,0.0,27.3,6-8,F,Fr,C-USA,25-26,26,FORWARD,0,Mid-Major,FALSE
30,Vasilije Kuridza,TULAN,0,0,0,60.6,0,30.5,160,0,0,0,0,67.4,0,247,111.3,135.7,2,41.4,2,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,1,0,0,0,1,,,,,6-9,PF,Fr,AAC,25-26,26,FORWARD,0,High-Major,FALSE
31,Brendan Yarusso,SCU,0.504,0.409,157.3,0,31.7,14.9,0,0,0,0,75,0,1.2,120.8,98.5,22.3,4.3,40.7,7,1.1,1.9,0.4,1.6,0.273,0.4,1.4,0.3,0.6,0.6,1,0,0.3,0.3,0,0,0,0,0.1,,37.5,87.5,59.0,6-1,G,Sr,WCC,25-26,26,GUARD,0,High-Major,FALSE
32,Christopher Skenderi,QUIN,0.929,0.929,146.4,7.8,40.9,23.9,15.6,22.2,3.7,0,28.4,-8.6,1.9,130.3,87.3,43,12,40.6,5,3,2.6,1,1.4,0.714,0.6,0.8,0.75,0,0,0,0.2,1,1.2,0.2,0.2,0,0.4,0.2,0.50,0.0,57.1,63.8,6-7,F,Fr,MAAC,25-26,26,FORWARD,0,Low-Major,FALSE
33,Zak Abdalla,UDM,0.847,0.75,250,0,15.4,7.1,28.2,0,7.7,0,18.7,9.3,2.5,194.5,95.2,99.2,5.5,40.5,4,1.9,1.3,0.3,0.5,0.5,0.3,0.3,1,0.5,0.5,1,0,0.3,0.3,0.3,0.3,0,0,0,,100.0,60.0,85.1,6-2,G,Fr,Horizon,25-26,26,GUARD,0,Low-Major,FALSE
34,Ethan Lathan,BOISE,0.652,0.6,135,30.1,35.7,33.2,0,0,0,11.8,35.2,0,1.8,151.4,83.9,67.5,6,39.9,5,2,1.8,0.6,1,0.6,0,0,0,0.6,0.8,0.75,0.4,0.6,1,0,0,0.2,0,1.2,,80.0,0.0,38.3,6-10,C,Fr,MWC,25-26,26,BIG,0,High-Major,FALSE
