#,Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,AST/TO,FTR,3PATR,SQ,HT,POS,CLASS,CONFERENCE,SEASON,YEAR,POS-GROUP,PORTAL,TIER-LEVEL,COUNT
4057,Gabe Kincy,AAMU,0.556,0.484,151,3.6,14.2,9,5.5,18.2,1.3,0.3,12.4,-2.5,1.5,104.9,105.2,-0.3,59,8,21,19.4,4.3,1.2,3,0.403,0.5,1.3,0.357,1.4,1.9,0.75,0.6,2.3,2.9,0.6,0.4,0,0.9,2,0.67,63.3,43.3,55.2,6-7,F,Jr,SWC,25-26,26,FORWARD,0,Low-Major,FALSE
4058,Pearse McGuinn,STONE,0.477,0.421,142.5,8.8,12.1,10.5,6.3,18.5,0,1.4,18.5,-4.7,1.1,93.1,105.3,-12.1,33.4,8,23,9.9,2.7,1,2.5,0.386,0.2,0.7,0.25,0.7,0.8,0.789,0.7,1,1.7,0.3,0,0.1,0.7,0.7,0.43,32.0,28.0,41.7,6-8,F,So,NEC,25-26,26,FORWARD,0,Low-Major,FALSE
4059,Alex Bossinakis,UTA,0.25,0.25,25,14.7,7.4,11,29.7,11.1,0,6.5,26.7,6.3,0.5,85.5,86.1,-0.6,3.8,8,4,3.8,1,0.5,2,0.25,0,0.8,0,0,0,0,0.5,0.3,0.8,0.8,0,0.3,0.3,0,2.67,0.0,40.0,18.8,6-2,G,Jr,WAC,25-26,26,GUARD,0,Mid-Major,FALSE
4060,Jordan Gorecki,TEXSO,0.63,0.645,119.5,6.8,15.3,11.1,5,30.8,0.3,8.5,7.8,-2.8,1.6,105.1,110,-4.9,67.3,8,22,16.8,2.3,0.9,1.4,0.645,0,0,0,0.5,0.9,0.55,0.9,2.1,3,0.5,0.1,1.2,0.8,2.6,0.63,64.3,0.0,34.0,6-10,C,Sr,SWC,25-26,26,BIG,0,Low-Major,FALSE
4061,Luka Vudragovic,PEPP,0.472,0.448,153.7,1.7,11.1,6.3,5.4,11.1,0.9,0.9,18.7,-2.3,1,93.5,117.2,-23.7,49.3,8,30,12.2,3.8,1.4,3.8,0.374,0.6,2.3,0.246,0.4,0.4,0.917,0.2,1.1,1.2,0.3,0.2,0.1,0.5,0.5,0.60,10.5,60.5,53.5,6-6,F,So,WCC,25-26,26,FORWARD,0,High-Major,FALSE
4062,Austin Nunez,UTSA,0.417,0.352,144.2,1,7.3,4.1,19.3,14.8,2.2,0.2,23.4,-0.7,0.9,87.9,115.7,-27.8,73.9,8,22,28.6,9.8,3.2,10.5,0.304,1,4,0.253,2.5,2.8,0.885,0.3,1.9,2.1,2.8,1.1,0,2,2.3,1.40,26.7,38.1,58.2,6-2,PG,Sr,AAC,25-26,26,GUARD,0,High-Major,FALSE
4063,Bryson Calamese,ALCST,0.448,0.394,138.3,2.5,8.1,5.2,24.1,22.2,2.9,0.8,22,-1.4,1,87.2,117.4,-30.1,36,8,25,11.8,3.5,1.2,3.4,0.353,0.3,1,0.28,0.8,1.1,0.75,0.2,0.7,0.9,1.4,0.6,0.1,1.1,1.7,1.27,32.4,29.4,42.8,6-1,G,Jr,SWC,25-26,26,GUARD,0,Low-Major,FALSE
4064,Paris Papadatos,STFPA,0.491,0.472,141.5,3.7,7.9,5.7,7.1,16,1.2,0,24.5,-5.4,1,89.2,117.3,-28.1,23.3,8,20,11.8,4.7,1.8,4.5,0.404,0.6,2.3,0.261,0.5,0.6,0.75,0.4,0.7,1.1,0.4,0.3,0,0.9,1.1,0.44,13.3,51.1,51.7,6-4,G,Fr,NEC,25-26,26,GUARD,0,Low-Major,FALSE
4065,Chris Eagan,AMERU,0.493,0.452,149,5.3,14.1,9.5,2.2,16.9,0.8,1.4,22.7,-6.8,1.1,90.5,108.5,-18.1,33.4,8,30,11.7,4.2,1.7,3.8,0.447,0,0.1,0.25,0.8,1,0.793,0.5,1.2,1.7,0.1,0.2,0.1,0.9,1.7,0.11,26.3,2.6,35.0,6-8,F,Fr,Patriot,25-26,26,FORWARD,0,Low-Major,FALSE
4066,"R.J. Kennedy, Jr.",NEWHA,0.509,0.489,139.1,3,8.8,5.7,8.2,17.8,1.5,0.6,17.8,-3.5,1.1,94,108.8,-14.8,64.3,8,26,20.6,6,2.1,5.3,0.391,1,3.1,0.333,0.8,1.2,0.667,0.5,1.4,1.9,0.8,0.5,0.1,1.3,1.8,0.62,22.6,58.5,59.3,6-1,G,Fr,AEC,25-26,26,GUARD,0,Low-Major,FALSE
4067,Danny Stephens,WIU,0.455,0.405,148,4.6,11.4,7.9,5.1,16.9,1.7,1.5,19.6,-4.8,1,86.6,119.4,-32.8,25,8,13,15.8,4.5,1.5,4.5,0.345,0.5,2.5,0.219,0.8,0.9,0.917,0.6,1.4,2,0.4,0.5,0.2,1,1.2,0.40,20.0,55.6,53.4,6-5,F,Fr,OVC,25-26,26,FORWARD,0,Low-Major,FALSE
4068,Christian Jones,SIENA,0.5466666667,0.5196666667,159.6,3.633333333,10.26666667,6.8,12.83333333,15,2.333333333,1.566666667,18,-0.6666666667,1.2,109.1666667,107.8333333,1.333333333,94.1,12.6,23.66666667,18.03333333,6.033333333,2.166666667,5.1,0.4193333333,0.9666666667,2.7,0.3546666667,0.7333333333,0.9666666667,0.8216666667,0.4333333333,1.266666667,1.7,1.533333333,0.6666666667,0.1666666667,1.1,1.5,1.39,19.0,52.9,59.6,6-4,F,So,MAAC,25-26,26,FORWARD,0,Low-Major,FALSE
4069,Ahmad Johnson,UAPB,0.514,0.495,143.7,2.5,5.5,4,11,12.7,1,1.3,16.8,-0.3,1.1,102.6,118,-15.4,43.6,8,25,13.5,4.2,1.4,3.8,0.375,0.9,2.8,0.329,0.4,0.6,0.733,0.3,0.6,0.9,0.8,0.2,0.2,0.6,1.5,1.33,15.8,73.7,60.2,6-4,F,Sr,SWC,25-26,26,FORWARD,0,Low-Major,TRUE
4070,Vincent Delano,NOCOL,0.515,0.483,141,0.5,11.3,6.2,11.9,17.7,0.5,0.4,17.8,-1.1,1.2,98.4,111.3,-12.9,84.8,8,28,20.7,6.2,2.1,5.3,0.408,0.8,2.6,0.297,1.1,1.6,0.705,0.1,1.9,2,1.6,0.2,0.1,1.3,1.4,1.23,30.2,49.1,55.9,6-2,G,So,BSKY,25-26,26,GUARD,0,Low-Major,FALSE
4071,Kose Egbule,JMU,0.49,0.426,141.8,1.3,14.4,8.2,20.9,26.3,1.6,1.6,16.1,-0.2,1.2,94.8,106.8,-12,50,8,19,15.6,3.5,0.9,2.8,0.333,0.5,1.4,0.37,1.1,1.5,0.714,0.2,1.9,2.1,1.8,0.4,0.2,1.3,1.9,1.38,53.6,50.0,53.4,6-2,G,Sr,Sun Belt,25-26,26,GUARD,0,Mid-Major,FALSE
4072,Jaden Johnson,LASAL,0.3535,0.289,125.35,0.95,10.8,5.85,25.4,24.85,1.4,0,16.8,0.8,0.8,76.85,112.1,-35.25,37.1,3.75,18,17.7,3.4,1.1,3.85,0.26,0.2,0.95,0.1825,1.05,1.6,0.811,0.25,1.25,1.5,2.45,0.55,0,1.05,1.2,2.33,41.6,24.7,37.7,6-2,G,So,A-10,25-26,26,GUARD,0,High-Major,FALSE
4073,Jordan Snell,NCST,0.375,0.375,53.6,0,14.9,7.9,18.1,0,0,0,25.7,8.7,0.8,108.5,94.1,14.4,2.5,8,6,2.5,1,0.3,1.3,0.25,0.3,1.2,0.286,0,0,0,0,0.3,0.3,0.3,0,0,0,0.3,,0.0,92.3,40.1,6-2,G,Sr,ACC,25-26,26,GUARD,0,Power 5,TRUE
4074,Bryson Ogletree,NC A&T,0.58,0.585,134,2.2,7,4.7,10.2,18.1,1.1,0.4,11.1,-0.3,1.3,109.7,114.7,-5,70.9,8,24,21.7,4.6,1.6,3.4,0.476,0.8,2.2,0.346,0.6,1.1,0.519,0.4,1.4,1.8,1.2,0.4,0.1,0.9,1.9,1.33,32.4,64.7,58.1,6-4,G,Sr,CAA,25-26,26,GUARD,0,Mid-Major,FALSE
4075,London Fields,TAMUC,0.461,0.433,130.2,3.6,9.2,6.4,11.1,13.5,2.1,1.2,14.2,0.4,1,96.4,108.6,-12.2,57.6,8,24,15.4,3.5,1.2,3.4,0.341,0.6,2.5,0.254,0.5,0.7,0.706,0.5,1.2,1.6,1,0.6,0.2,0.6,1.4,1.67,20.6,73.5,55.1,6-5,G,Jr,SLC,25-26,26,GUARD,0,Low-Major,FALSE
4076,Alex Hemenway,UE,0.501,0.471,148.7,1.4,8.2,4.7,7.1,8,0.9,0.5,15.8,0,1.1,101.1,116.9,-15.7,94.4,8,28,25.9,7,2.2,6.4,0.339,1.7,5.1,0.336,1,1.2,0.818,0.3,1.5,1.8,0.9,0.4,0.1,0.6,1.7,1.50,18.8,79.7,73.4,6-4,SG,Sr,MVC,25-26,26,GUARD,0,High-Major,FALSE
4077,Ethan Thomas,UCA,0.471,0.375,135,0,15.1,7.4,11.6,13.6,2.9,0,9.2,2.6,1.5,109.3,92,17.3,6.9,8,8,4.6,0.8,0.1,0.5,0.25,0.1,0.3,0.5,0.4,0.6,0.6,0,0.6,0.6,0.4,0.3,0,0.1,0.5,4.00,120.0,60.0,57.5,6-1,G,So,A-SUN,25-26,26,GUARD,0,Low-Major,FALSE
4078,Clayton Jackson-Hudson,LIND,0.462,0.396,133.4,1.6,10.4,6,18,20.2,1.3,0.3,17.5,-0.2,1.1,93.6,103.6,-10,122.4,8,29,25.4,7.1,2.3,6.5,0.362,0.4,2.4,0.183,1.9,2.4,0.789,0.3,2.3,2.7,2.8,0.6,0.1,1.9,1.5,1.47,36.9,36.9,49.9,6-2,PG,So,OVC,25-26,26,GUARD,0,Low-Major,FALSE
4079,Ryan Erikson,UND,0.397,0.321,128.6,10.9,19.3,14.7,9,19.6,0,3.5,24.9,-6.8,0.9,83.4,99,-15.6,7.1,8,7,5.4,1.9,0.6,2,0.286,0.1,0.7,0.2,0.6,0.7,0.8,0.6,0.9,1.4,0.3,0,0.1,0.6,0.3,0.50,35.0,35.0,39.1,6-10,FC,So,Summit,25-26,26,FORWARD,0,Low-Major,FALSE
4080,Isaiah Brown,HWRD,0.5335,0.4715,156.8,5.55,11.45,8.6,16.5,18.75,1.8,1.25,17.85,-0.15,1.3,111.95,99.35,12.6,74.9,12.75,26,11.85,4.05,1.35,3.1,0.4135,0.35,0.95,0.39,1,1.3,0.765,0.55,1.2,1.8,1.15,0.35,0.15,0.8,1.45,1.44,41.9,30.6,49.6,6-4,G,So,MEAC,25-26,26,GUARD,0,Low-Major,FALSE
4081,Kaden Stuckey,VMI,0.378,0.313,93.8,11.8,18.7,15.1,6.1,19.2,1.3,6.1,17.8,-4.6,0.9,83.8,113.3,-29.5,78.5,7.9,25,17.3,3.7,1.2,4,0.313,0,0.6,0,1.2,1.9,0.625,1.8,2.6,4.4,0.6,0.4,0.8,1.2,2.5,0.50,47.5,15.0,29.5,6-8,F,So,SoCon,25-26,26,FORWARD,0,Low-Major,TRUE
4082,D'Shay Wright,SCSU,0.473,0.435,125.8,9.8,15.5,12.4,8.7,22,1.3,0,14.2,-3.7,1.2,91.9,122.3,-30.3,28.9,7.9,12,14.3,3.1,1.1,2.6,0.419,0.1,0.3,0.25,0.8,1.4,0.588,1.3,1.7,2.9,0.6,0.3,0,0.9,1.4,0.67,53.8,11.5,37.3,6-9,C,So,MEAC,25-26,26,BIG,0,Low-Major,FALSE
4083,Aidan Richard,HC,0.403,0.388,105.4,5.9,14.6,10.2,6.1,10.8,2.2,1.2,15.1,-0.9,0.9,88.6,108.6,-19.9,106.1,7.9,26,26.7,5.3,1.9,6,0.321,0.8,3.7,0.219,0.7,1.3,0.514,1.2,3,4.2,0.9,1,0.3,0.8,2,1.13,21.7,61.7,54.6,6-6,F,So,Patriot,25-26,26,FORWARD,0,Low-Major,FALSE
4084,Will Garlock,UWISC,0.617,0.75,110.7,6.7,12,9.3,18.7,32.5,0.7,1.3,8.3,2.6,1.9,118.1,110.7,7.4,30.3,7.9,24,6.9,1,0.4,0.5,0.75,0,0,0,0.2,0.6,0.357,0.4,0.7,1,0.8,0.1,0.1,0.4,1.2,2.00,120.0,0.0,37.2,7-0,C,Fr,B10,25-26,26,BIG,0,Power 5,FALSE
4085,Mekhi Cooper,LIND,0.446,0.399,145.7,1.4,9.6,5.5,21.9,22.1,2.4,0,15.3,2,1,93.8,101.5,-7.7,153.1,7.9,29,29.1,6.6,2.1,6.7,0.314,1.1,3.6,0.32,1.3,1.6,0.822,0.3,2.5,2.8,4.1,1.3,0,2.1,2.4,1.95,23.9,53.7,60.3,6-0,G,Jr,OVC,25-26,26,GUARD,0,Low-Major,FALSE
4086,Khamani Cooper,OMAHA,0.507,0.477,151.1,1,7.6,4.4,14.5,18,1.7,0.3,18.6,-1,1.1,97.1,112.8,-15.7,46.8,7.9,24,16.7,5,1.8,4.5,0.398,0.7,2.1,0.34,0.7,0.9,0.773,0.1,1,1.1,1.4,0.5,0,1.1,2.1,1.27,20.0,46.7,53.5,6-4,G,Jr,Summit,25-26,26,GUARD,0,Low-Major,FALSE
4087,Luke Rasmussen,TULAN,0.451,0.474,89.8,5.1,10.3,7.8,7,18.8,3.6,3.6,12.7,-2.1,1,86.5,107.2,-20.6,34.1,7.9,12,18.4,3.3,1.3,3.2,0.395,0.5,2.2,0.231,0.3,0.9,0.273,0.8,1.6,2.3,0.7,1.2,0.6,0.8,2.4,0.88,28.1,68.8,48.4,6-8,F,So,AAC,25-26,26,FORWARD,0,High-Major,FALSE
4088,Elijah Perkins,STPC,0.377,0.333,88.9,5.1,9.5,7.2,13.9,13.3,2.5,1.2,11.7,2.1,0.9,96.3,103,-6.7,75.8,7.9,19,25.9,3.9,1.4,4.3,0.333,0,0.5,0,1.1,1.9,0.556,1.1,1.9,3,1.9,1.1,0.3,0.8,2,2.38,44.2,11.6,27.4,6-4,G,Jr,MAAC,25-26,26,GUARD,0,Low-Major,FALSE
4089,C.J. Smith,UTEP,0.423,0.382,137.7,11.5,10,10.8,2.2,24.1,4.6,3.1,16.2,-7.2,0.9,84.3,101.2,-16.9,10.8,7.9,10,7.7,1.6,0.5,1.7,0.294,0.3,0.9,0.333,0.3,0.4,0.75,0.7,0.6,1.3,0.1,0.6,0.2,0.6,1.1,0.17,23.5,52.9,45.4,6-7,GF,So,C-USA,25-26,26,WING,0,Mid-Major,FALSE
4090,Vukasin Masic,SANFR,0.491,0.478,135.9,0.8,8.2,4.6,18.4,16.2,0.5,0.3,15.7,1.5,1,101.4,113.5,-12.1,102.6,7.9,30,22.3,5.6,2.1,5.4,0.383,1,3.5,0.292,0.4,0.6,0.684,0.1,1.5,1.6,2.1,0.2,0.1,1.1,0.9,1.91,11.1,64.8,59.7,6-5,G,Sr,WCC,25-26,26,GUARD,0,High-Major,FALSE
4091,Kyan Evans,UNC,0.466,0.458,128.8,0,7.4,3.9,23.9,19.1,1.6,0,15.8,3.9,1,99.4,105.7,-6.3,89.6,7.9,28,18.9,4.5,1.6,4.6,0.338,1.1,3.5,0.313,0.3,0.4,0.636,0,1.3,1.3,2.8,0.5,0,1.1,1.6,2.55,8.7,76.1,60.3,6-2,G,Jr,ACC,25-26,26,GUARD,0,Power 5,FALSE
4092,Tafara Gapare,VILL,0.403,0.315,129.2,5.8,16.2,10.9,4.3,15.7,2.1,5.3,13.5,-2.5,1,92,99.2,-7.2,24.4,7.9,9,16.3,2.9,0.8,3,0.259,0.3,1.6,0.214,1,1.2,0.818,0.8,2.1,2.9,0.4,0.6,0.8,0.7,1.9,0.57,40.0,53.3,47.6,6-9,GF,Sr,Big East,25-26,26,WING,0,Power 5,FALSE
4093,C.J. Delancy,CHIST,0.503,0.444,144.4,11.3,10.7,11,6.4,16.7,0.9,0,9.7,-1.1,1.1,111.5,120.5,-9,8.8,7.9,6,9.5,1.7,0.7,1.5,0.444,0,0,0,0.3,0.3,1,1,0.8,1.8,0.3,0.2,0,0.3,1.5,1.00,20.0,0.0,29.6,6-9,FC,Sr,NEC,25-26,26,FORWARD,0,Low-Major,FALSE
4094,Todd Bieg,LIND,0.808,0.875,225,3,9.6,6.4,1.9,16.8,2.7,3.9,3.5,-0.4,2,142.1,92.1,50,12.5,7.9,13,5.8,0.6,0.2,0.3,0.75,0.1,0.1,1,0.1,0.2,0.5,0.2,0.5,0.7,0.1,0.3,0.2,0.1,0.9,1.00,66.7,33.3,70.4,6-6,F,Sr,OVC,25-26,26,FORWARD,0,Low-Major,FALSE
4095,Grady Whitt,UNCW,0.424,0.375,100,0,3.5,2,13.6,14.5,3.9,0,11.6,3.5,1.3,106.4,87.9,18.6,4.3,7.9,5,5.6,1,0.2,0.8,0.25,0.2,0.8,0.25,0.4,0.8,0.5,0,0.2,0.2,0.6,0.4,0,0.2,0.4,3.00,100.0,100.0,55.1,6-3,G,So,CAA,25-26,26,GUARD,0,Mid-Major,FALSE
4096,Kyran Ratliff,LA,0.393,0.387,108.4,11.7,17.4,14.3,6,18.9,1.2,4.4,9.1,-1.1,0.9,96.4,107.8,-11.5,46.6,7.9,28,9.2,1,0.4,1.1,0.323,0.1,0.4,0.333,0.1,0.3,0.429,0.8,1.1,1.9,0.3,0.2,0.3,0.3,1,1.00,27.3,36.4,36.6,6-8,F,Jr,Sun Belt,25-26,26,FORWARD,0,Mid-Major,FALSE
4097,Josiah Dunham,USI,0.485,0.465,149.2,3.5,6.1,4.7,7.1,12.5,2.6,0,13.6,-1.2,1,101.4,107.5,-6,44.5,7.9,19,20.5,4.6,1.5,4.5,0.337,1.2,3.3,0.355,0.4,0.5,0.8,0.6,1,1.6,0.7,0.9,0,0.7,1.9,1.00,11.1,73.3,62.5,6-0,G,So,OVC,25-26,26,GUARD,0,Low-Major,FALSE
4098,Cale Barclay,SUU,0.487,0.451,121.4,10,12.7,11.4,11.5,21,0.5,0.4,17.9,-3.3,1.1,96.8,112.3,-15.4,59.8,7.9,27,15.2,4.3,1.6,3.8,0.431,0.1,1.2,0.125,0.9,1.4,0.658,1.2,1.6,2.9,1,0.1,0.1,1.2,2.5,0.83,36.8,31.6,41.2,6-8,F,Fr,WAC,25-26,26,FORWARD,0,Mid-Major,FALSE
4099,Isaiah Barnes,VAL,0.443,0.4,129.3,4.3,13.5,8.7,8.1,14.8,1.3,0.6,19.7,-3.1,1,90.7,107,-16.2,48.4,7.9,27,13.7,4,1.4,3.9,0.352,0.4,1.5,0.244,0.9,1.2,0.697,0.5,1.4,1.9,0.6,0.3,0.1,0.8,1,0.75,30.8,38.5,44.9,6-7,GF,Sr,MVC,25-26,26,WING,0,High-Major,FALSE
4100,Brooklyn Vick,NC A&T,0.427,0.373,122.4,1.7,12,7.1,24.4,26.4,2.3,0.3,16.7,0.3,1,86.1,111.3,-25.3,59.4,7.9,18,18.2,3.8,1.2,3.7,0.328,0.3,1.4,0.24,1.1,1.6,0.655,0.3,2.1,2.4,2.5,0.7,0.1,1.6,1.3,1.56,43.2,37.8,44.5,6-1,G,Fr,CAA,25-26,26,GUARD,0,Mid-Major,FALSE
4101,E.J. Walker,SOCAR,0.582,0.585,137.9,7.6,13.7,10.7,2.1,18.6,0.9,1.6,11.7,-3.5,1.4,106.8,114.7,-7.9,35.6,7.9,18,14.5,3.1,1.2,2.3,0.512,0.3,1,0.333,0.4,0.8,0.533,0.8,1.6,2.4,0.2,0.2,0.2,0.6,2.2,0.33,34.8,43.5,49.0,6-7,F,Fr,SEC,25-26,26,FORWARD,0,Power 5,FALSE
4102,Daniel Zatsepin,CHIST,0.399,0.38,136,9.9,13.7,11.7,2,14.8,4.7,0,9.3,-2,0.9,92.8,111.2,-18.4,26.5,7.8,22,8.7,1,0.4,1.1,0.36,0,0.1,0.5,0.2,0.4,0.5,0.7,0.9,1.5,0.1,0.7,0,0.2,1.5,0.50,36.4,9.1,37.0,6-4,PG,Jr,NEC,25-26,26,GUARD,0,Low-Major,FALSE
4103,Ben Winker,CSFUL,0.449,0.75,87.5,9.7,37.9,23.4,11.9,27.8,0,2.8,13.8,-2.5,1.8,84.4,107.4,-22.9,10.3,7.8,7,4.9,1,0.4,0.6,0.75,0,0,0,0.1,1.1,0.125,0.4,1.6,2,0.4,0,0.1,0.4,0.9,1.00,183.3,0.0,35.3,6-10,C,Fr,BWC,25-26,26,BIG,0,Mid-Major,FALSE
4104,Jalen Kampen,CMU,0.51,0.492,135.5,1.1,10.1,5.6,4.9,10.6,0.9,1.4,15.7,-1.4,1.1,100.1,114.2,-14.1,29.3,7.8,17,14.5,4.1,1.5,3.6,0.426,0.5,1.6,0.286,0.5,0.8,0.643,0.1,1.1,1.2,0.4,0.2,0.2,0.5,1.3,0.80,22.2,44.4,48.3,6-3,G,Fr,MAC,25-26,26,GUARD,0,Mid-Major,FALSE
4105,Emmanuel Callas,SAND,0.486,0.455,105.5,5,17.5,10.8,6.4,27.2,3.5,3.4,6.3,-0.7,1.2,97.5,107.4,-9.9,25.9,7.8,15,9.6,0.9,0.3,0.7,0.455,0,0,0,0.2,0.3,0.6,0.4,1.2,1.6,0.4,0.6,0.3,0.3,1.4,1.33,42.9,0.0,27.3,6-5,F,Jr,WCC,25-26,26,FORWARD,0,High-Major,FALSE
4106,Nate Guerengomba,QUIN,0.425,0.381,115.8,9.4,4.6,7.1,8.7,15.6,1.8,1.4,12.4,-0.4,1,100.3,108.4,-8.1,53,7.8,26,14.4,2.7,0.9,2.6,0.358,0.1,0.6,0.2,0.7,1.2,0.6,1.2,0.5,1.7,0.8,0.5,0.2,0.6,1.4,1.33,46.2,23.1,37.0,6-4,GF,So,MAAC,25-26,26,WING,0,Low-Major,FALSE
4107,Khalil Farmer,UML,0.467,0.426,132.3,2.7,10.2,6.5,6.2,10.4,1.3,1.4,15.6,-0.8,1.1,102,110.8,-8.8,52.5,7.8,28,15.1,4,1.3,3.6,0.347,0.6,1.8,0.327,0.9,1.4,0.65,0.3,1.3,1.6,0.6,0.4,0.2,0.5,1.6,1.20,38.9,50.0,51.4,6-3,GF,Jr,AEC,25-26,26,WING,0,Low-Major,FALSE
4108,L.J. Brown,UTSA,0.43,0.413,132.3,6,7.1,6.5,8.7,17.7,4,0,12.6,-1.2,0.9,92.5,115.3,-22.8,28,7.8,17,11.5,2.1,0.7,2.4,0.3,0.5,1.9,0.273,0.2,0.2,0.75,0.6,0.7,1.4,0.6,0.8,0,0.5,1.4,1.20,8.3,79.2,51.6,6-2,G,Sr,AAC,25-26,26,GUARD,0,High-Major,FALSE
4109,Kai Shinholster,MINN,0.405,0.379,130.3,5.7,7.1,6.4,14.9,11.5,2.2,0.7,11.4,3.4,0.9,102.8,108.2,-5.4,54,7.8,26,13.2,1.9,0.7,2.2,0.31,0.3,1.3,0.242,0.2,0.3,0.75,0.5,0.7,1.2,1.1,0.5,0.1,0.3,0.8,3.67,13.6,59.1,44.5,6-5,SF,Fr,B10,25-26,26,WING,0,Power 5,FALSE
4110,Ryan Cornish,USC,0.547,0.463,166,2.7,5.2,4,10.6,13,0.9,1.5,11,1.2,1.3,119.3,112.3,6.9,31.3,7.8,22,10.6,2.3,0.6,1.8,0.35,0.4,1.3,0.31,0.6,0.6,1,0.2,0.5,0.7,0.7,0.2,0.1,0.3,1.1,2.33,33.3,72.2,57.6,6-5,G,Sr,B10,25-26,26,GUARD,0,Power 5,FALSE
4111,Dutch Dowdell,HAR,0.441,0.441,60.7,0,13.7,7.3,3.2,5.6,2.2,0,18.1,-0.6,0.9,89.4,104.2,-14.8,7.8,7.8,13,4.3,1.2,0.4,1.3,0.294,0.4,1.2,0.313,0,0,0,0,0.5,0.5,0.1,0.2,0,0.1,0.2,1.00,0.0,92.3,43.1,6-6,SG,So,IVY,25-26,26,GUARD,0,Mid-Major,FALSE
4112,Elijah Espinosa,MSMU,0.45,0.429,88.3,8.2,18,13.2,16.9,29,0.9,4.3,14.2,-1.6,1.6,89.9,106.9,-17.1,12.4,7.8,12,5.2,0.9,0.3,0.6,0.429,0,0,0,0.4,0.9,0.455,0.3,0.8,1.1,0.5,0.1,0.2,0.4,0.7,1.25,150.0,0.0,35.3,6-9,G,Fr,MAAC,25-26,26,GUARD,0,Low-Major,FALSE
4113,Vukasin Todorovic,UWGB,0.426,0.398,108.6,8.3,12.7,10.6,18.6,22.8,2,1.5,23.2,-3.4,1,85.8,111.1,-25.3,24.8,7.8,18,9.7,2.7,1.1,2.7,0.388,0.1,0.4,0.143,0.6,1,0.556,0.6,0.9,1.5,0.9,0.3,0.1,0.9,1.3,1.00,37.0,14.8,32.0,6-8,F,Fr,Horizon,25-26,26,FORWARD,0,Low-Major,FALSE
4114,Chris Kumu,CAN,0.398,0.377,106.2,6.5,8.7,7.6,4,8.7,2.7,0.8,21.5,-2.5,0.9,86.1,109.6,-23.5,34.1,7.8,27,12.8,3.7,1.4,4.1,0.355,0.2,1,0.192,0.6,1.2,0.515,0.7,0.8,1.5,0.2,0.6,0.1,0.4,1.2,0.50,29.3,24.4,35.5,6-4,G,Fr,MAAC,25-26,26,GUARD,0,Low-Major,FALSE
4115,Chris Morgan,IPFW,0.4455,0.4035,108.05,6.1,12.9,9.45,10.75,15.5,2.65,2.35,18.9,-1.85,1.1,92.55,110.85,-18.3,37.45,8.7,19,13.8,3.7,1.35,3.65,0.365,0.2,0.8,0.1285,0.8,1.35,0.587,0.7,1.3,2,0.8,0.65,0.25,0.8,2,1.00,37.0,21.9,35.7,6-9,F,Sr,Horizon,25-26,26,FORWARD,0,Low-Major,FALSE
4116,Caleb Delzell,SDKSU,0.465,0.475,98.9,5.8,18,11.9,11.6,16,1,0.5,10.7,1.4,1,104.6,109,-4.4,44.8,7.8,25,9.6,1.6,0.6,1.6,0.375,0.3,0.9,0.364,0,0.2,0.25,0.4,1.4,1.8,0.7,0.2,0,0.3,1.1,2.33,12.5,56.3,42.1,6-9,F,Sr,Summit,25-26,26,FORWARD,0,Low-Major,TRUE
4117,Markus Blackwell,EIU,0.509,0.473,161.6,0.8,7.5,4.2,10.7,19.7,0.9,1.9,19.3,-3.8,1.1,91.3,111.1,-19.8,34,7.8,19,14.6,4.4,1.4,3.8,0.37,0.8,1.7,0.469,0.7,0.9,0.778,0.1,0.9,1.1,0.8,0.2,0.2,1.1,0.6,0.73,23.7,44.7,54.9,6-2,G,Fr,OVC,25-26,26,GUARD,0,Low-Major,FALSE
4118,Jack Tauer,STTOM,0.606,0.75,150,0,12.3,6.8,7,0,0,5.8,6.9,3.6,1.5,130.3,93,37.3,3.1,7.8,9,2,0.3,0.1,0.2,0.5,0.1,0.1,1,0,0.1,0,0,0.2,0.2,0.1,0,0.1,0,0.3,,50.0,50.0,59.2,6-2,F,Sr,Summit,25-26,26,FORWARD,0,Low-Major,FALSE
4119,Monty Bowser,CALBU,0.402,0.364,118.9,2.3,18.1,9.7,3.5,3.9,1.8,0,12.8,0.3,0.9,102.2,100.5,1.7,15.8,7.8,12,8.1,1.7,0.5,1.8,0.273,0.3,1.3,0.25,0.3,0.5,0.667,0.2,1.2,1.3,0.2,0.3,0,0.1,0.3,2.00,27.8,72.2,47.1,6-6,F,Sr,WAC,25-26,26,FORWARD,0,Mid-Major,FALSE
4120,Torrin Andrews,COPST,0.536,0.487,151.6,2.3,8.4,5.2,17.7,28.2,1.9,1,17.6,-4.3,1.2,89.4,118.1,-28.7,74.6,7.7,28,18.7,5.1,1.6,4.1,0.391,0.8,2.5,0.314,1.1,1.3,0.811,0.4,1.2,1.5,1.6,0.6,0.1,1.9,1.1,0.84,31.7,61.0,59.5,6-4,G,Sr,MEAC,25-26,26,GUARD,0,Low-Major,FALSE
